Device,Execution Time,Memory Usage,Throughput,Array Size,ID,Type
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,500.8726119995117,488.28125,638565.5999899467,8000,4,cpu
NVIDIA GeForce MX350,86.86659240722656,488.28125,3681968.074684049,8000,4,cuda
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,681.865930557251,762.939453125,732988.6970471473,10000,4,cpu
NVIDIA GeForce MX350,262.6944274902344,762.939453125,1902590.8725017775,10000,4,cuda
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,751.1773109436035,1098.6328125,958175.931985834,12000,4,cpu
NVIDIA GeForce MX350,373.6666870117188,1098.6328125,1926208.6908417053,12000,4,cuda
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,1505.157709121704,1716.61376953125,747230.6810003914,15000,4,cpu
NVIDIA GeForce MX350,593.45751953125,1716.61376953125,1895165.168499944,15000,4,cuda
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,1849.3952751159668,1953.125,691945.1115823562,16000,4,cpu
NVIDIA GeForce MX350,2258.034423828125,1953.125,566722.9899137293,16000,4,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2060,809.7248077392578,30.517578125,24650.3748053961,2000,5,cpu
NVIDIA GeForce RTX 2060,751.5169067382812,30.517578125,26559.64200011159,2000,5,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2060,114.3956184387207,122.0703125,698628.3311437444,4000,5,cpu
NVIDIA GeForce RTX 2060,9.807711601257324,122.0703125,8148691.891567698,4000,5,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2060,414.9186611175537,488.28125,770849.927883537,8000,5,cpu
NVIDIA GeForce RTX 2060,28.133888244628903,488.28125,11368496.854005285,8000,5,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2060,571.882963180542,762.939453125,873955.0785362606,10000,5,cpu
NVIDIA GeForce RTX 2060,24.9956169128418,762.939453125,19995506.481907304,10000,5,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2060,932.875394821167,1098.6328125,771550.0097823661,12000,5,cpu
NVIDIA GeForce RTX 2060,37.90998458862305,1098.6328125,18986027.765782926,12000,5,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2060,1365.3528690338137,1716.61376953125,823743.1110361159,15000,5,cpu
NVIDIA GeForce RTX 2060,50.15740966796875,1716.61376953125,22423407.17842632,15000,5,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2060,1332.7054977416992,1953.125,960212.1565255398,16000,5,cpu
NVIDIA GeForce RTX 2060,62.038848876953125,1953.125,20627075.504545502,16000,5,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2070 with Max-Q Design,614.9590015411377,30.517578125,32457.48082388997,2000,6,cpu
NVIDIA GeForce RTX 2070 with Max-Q Design,348.4598693847656,30.517578125,57280.68496163144,2000,6,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2070 with Max-Q Design,67.81721115112305,122.0703125,1178462.2021968318,4000,6,cpu
NVIDIA GeForce RTX 2070 with Max-Q Design,6.213024139404297,122.0703125,12863304.279333238,4000,6,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2070 with Max-Q Design,265.3224468231201,488.28125,1205476.6712340196,8000,6,cpu
NVIDIA GeForce RTX 2070 with Max-Q Design,23.72800064086914,488.28125,13479434.059400149,8000,6,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2070 with Max-Q Design,400.8915424346924,762.939453125,1246721.2876695208,10000,6,cpu
NVIDIA GeForce RTX 2070 with Max-Q Design,28.742271423339844,762.939453125,17389023.039916843,10000,6,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2070 with Max-Q Design,643.2435512542725,1098.6328125,1118954.117140431,12000,6,cpu
NVIDIA GeForce RTX 2070 with Max-Q Design,32.320640563964844,1098.6328125,22269361.23297259,12000,6,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2070 with Max-Q Design,884.6719264984131,1716.61376953125,1271318.7638400977,15000,6,cpu
NVIDIA GeForce RTX 2070 with Max-Q Design,38.29878234863281,1716.61376953125,29366469.4026532,15000,6,cuda
i7-10750H CPU @ 2.60GHz with GeForce RTX 2070 with Max-Q Design,945.4712867736816,1953.125,1353483.7471022198,16000,6,cpu
NVIDIA GeForce RTX 2070 with Max-Q Design,48.7751350402832,1953.125,26236319.365248647,16000,6,cuda
12th Gen Intel(R) Core(TM) i7-12700H,381.5770149230957,30.517578125,52309.28284300041,2000,7,cpu
NVIDIA GeForce RTX 3050 Ti Laptop GPU,193.4932556152344,30.517578125,103156.1536164906,2000,7,cuda
12th Gen Intel(R) Core(TM) i7-12700H,30.011653900146484,122.0703125,2662966.2019263096,4000,7,cpu
NVIDIA GeForce RTX 3050 Ti Laptop GPU,4.967423915863037,122.0703125,16088826.191133467,4000,7,cuda
12th Gen Intel(R) Core(TM) i7-12700H,111.88578605651855,488.28125,2858629.601426176,8000,7,cpu
NVIDIA GeForce RTX 3050 Ti Laptop GPU,19.19203186035156,488.28125,16665250.57520101,8000,7,cuda
12th Gen Intel(R) Core(TM) i7-12700H,175.5669116973877,762.939453125,2846777.9900433063,10000,7,cpu
NVIDIA GeForce RTX 3050 Ti Laptop GPU,18.42905616760254,762.939453125,27120217.956610616,10000,7,cuda
12th Gen Intel(R) Core(TM) i7-12700H,268.8710689544678,1098.6328125,2676970.872317573,12000,7,cpu
NVIDIA GeForce RTX 3050 Ti Laptop GPU,36.26185607910156,1098.6328125,19848956.94334886,12000,7,cuda
12th Gen Intel(R) Core(TM) i7-12700H,459.6734046936035,1716.61376953125,2446737.20192638,15000,7,cpu
NVIDIA GeForce RTX 3050 Ti Laptop GPU,46.46543884277344,1716.61376953125,24205087.65247397,15000,7,cuda
12th Gen Intel(R) Core(TM) i7-12700H,537.341833114624,1953.125,2381500.8271038947,16000,7,cpu
NVIDIA GeForce RTX 3050 Ti Laptop GPU,53.44704055786133,1953.125,23942953.74717013,16000,7,cuda
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,374.5090961456299,30.517578125,53296.48920526736,2000,8,cpu
NVIDIA GeForce RTX 3060 Laptop GPU,201.619384765625,30.517578125,98998.51655237802,2000,8,cuda
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,30.1206111907959,122.0703125,2653333.277128903,4000,8,cpu
NVIDIA GeForce RTX 3060 Laptop GPU,21.09062385559082,122.0703125,3789362.540777301,4000,8,cuda
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,241.17064476013184,488.28125,1326197.972054653,8000,8,cpu
NVIDIA GeForce RTX 3060 Laptop GPU,8.938207626342773,488.28125,35783462.789269336,8000,8,cuda
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,192.86561012268064,762.939453125,2591441.883714158,10000,8,cpu
NVIDIA GeForce RTX 3060 Laptop GPU,10.095935821533203,762.939453125,49505071.03402908,10000,8,cuda
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,261.2423896789551,1098.6328125,2755142.535958749,12000,8,cpu
NVIDIA GeForce RTX 3060 Laptop GPU,19.17904090881348,1098.6328125,37528467.84268778,12000,8,cuda
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,454.27942276000977,1716.61376953125,2475789.048878327,15000,8,cpu
NVIDIA GeForce RTX 3060 Laptop GPU,16.489343643188477,1716.61376953125,68207688.8163222,15000,8,cuda
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,606.9121360778809,1953.125,2108509.5253982325,16000,8,cpu
NVIDIA GeForce RTX 3060 Laptop GPU,25.647872924804688,1953.125,49894196.83073952,16000,8,cuda
Intel(R) Xeon(R) CPU @ 2.30GHz,1071.2637901306152,30.517578125,18632.21755826018,2000,9,cpu
Tesla T4,897.6557006835938,30.517578125,22235.71909006961,2000,9,cuda
Intel(R) Xeon(R) CPU @ 2.30GHz,173.8262176513672,122.0703125,459769.6543123937,4000,9,cpu
Tesla T4,8.580415725708008,122.0703125,9314236.344114369,4000,9,cuda
Intel(R) Xeon(R) CPU @ 2.30GHz,642.0671939849854,488.28125,498141.0403713593,8000,9,cpu
Tesla T4,33.639007568359375,488.28125,9508009.989594324,8000,9,cuda
Intel(R) Xeon(R) CPU @ 2.30GHz,945.0726509094238,762.939453125,528848.2525857169,10000,9,cpu
Tesla T4,52.44806289672852,762.939453125,9529427.63556622,10000,9,cuda
Intel(R) Xeon(R) CPU @ 2.30GHz,1049.6690273284912,1098.6328125,685701.874839404,12000,9,cpu
Tesla T4,75.34489440917969,1098.6328125,9552870.51158582,12000,9,cuda
Intel(R) Xeon(R) CPU @ 2.30GHz,1161.5355014801023,1716.61376953125,968287.2530084836,15000,9,cpu
Tesla T4,89.62918090820312,1716.61376953125,12548368.830368996,15000,9,cuda
Intel(R) Xeon(R) CPU @ 2.30GHz,1376.4874935150146,1953.125,929670.6479564112,16000,9,cpu
Tesla T4,133.82745361328125,1953.125,9562163.70743979,16000,9,cuda
